,genre,testtrainval
,,
track_id,,
2,Hip-Hop,training
5,Hip-Hop,training
10,Pop,training
140,Folk,training
141,Folk,training
148,Experimental,validation
182,Rock,test
190,Folk,training
193,Folk,training
194,Folk,training
197,Folk,training
200,Folk,training
203,Folk,training
204,Folk,training
207,Folk,training
210,Folk,training
211,Folk,training
212,Folk,training
213,Pop,training
255,Rock,training
256,Rock,training
368,Rock,training
424,Experimental,training
459,Rock,validation
534,Folk,training
540,Folk,training
546,Folk,training
574,Rock,training
602,Folk,validation
615,Experimental,training
620,Folk,training
621,Folk,training
625,Folk,training
666,International,training
667,International,training
676,Hip-Hop,training
690,Rock,validation
694,Hip-Hop,training
695,Hip-Hop,training
704,International,test
705,International,test
706,International,test
707,International,test
708,International,test
709,International,test
714,Folk,training
715,Folk,training
716,Folk,training
718,Folk,training
777,Rock,training
814,Folk,training
821,Pop,training
822,Pop,training
825,Rock,training
853,International,training
890,Folk,test
892,Folk,test
897,Experimental,training
993,Rock,validation
995,Experimental,training
997,Experimental,training
998,Experimental,training
1039,Rock,training
1040,Rock,training
1066,Experimental,test
1069,Experimental,test
1073,Experimental,test
1075,Experimental,test
1082,International,training
1083,Experimental,training
1087,Rock,validation
1102,Rock,training
1193,Folk,training
1195,Folk,training
1196,Folk,training
1197,Folk,training
1249,Experimental,test
1259,Experimental,test
1270,Rock,training
1276,Experimental,training
1277,Experimental,training
1278,Experimental,training
1417,Rock,training
1427,Rock,training
1443,Experimental,training
1482,Electronic,training
1510,Experimental,training
1544,Folk,training
1642,Pop,training
1644,Pop,training
1649,Pop,training
1661,Pop,training
1663,Pop,training
1666,Pop,training
1673,Experimental,training
1680,International,training
1681,International,training
1682,International,training
1683,International,training
1684,International,training
1685,International,training
1686,International,training
1687,International,training
1688,International,training
1689,International,training
1701,Folk,training
1702,Folk,training
1703,Folk,training
1704,Folk,training
1706,Rock,training
1720,Rock,training
1732,Experimental,training
1733,Experimental,training
1735,Experimental,training
1736,Experimental,training
1883,Rock,training
1891,Rock,training
1893,Folk,validation
1924,Folk,training
1925,Folk,training
1929,Experimental,training
1930,Rock,training
2012,Experimental,validation
2096,Experimental,training
2097,Folk,training
2099,Pop,training
3263,Folk,validation
3264,Folk,validation
3265,Folk,validation
3266,Folk,validation
3270,Folk,training
3271,Folk,training
3272,Folk,training
3273,Folk,training
3274,Folk,training
3492,Rock,training
3532,Pop,training
3533,Pop,training
3534,Pop,training
3535,Pop,training
3537,Pop,training
3538,Pop,training
3573,Electronic,training
3598,Folk,training
3624,Rock,test
3707,Folk,training
3708,Folk,training
3720,Rock,training
3721,Rock,training
3722,Rock,training
3724,Rock,training
3725,Rock,training
3761,Rock,training
3762,Rock,training
3763,Rock,training
